year,sector_code,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2015,16030,NIC,0.00886,0,0.098621,0,0,1.25529780940486,-1.53374646312887,4.04434208193859
2016,16030,NIC,0.007361,0,0.00886,0,0,1.2724706428212,-1.51518359613657,4.06012488177898
2017,16030,NIC,0.05369,0,0.007361,0,0,1.30037919994307,-1.48732191441285,4.088080314299
2018,16030,NIC,0.044611,0,0.05369,0,0,1.33410530247961,-1.45510065541313,4.12331126037234
2019,16030,NIC,0.069643,0,0.044611,0,0,1.36109186841968,-1.43114394887935,4.15332768571872
2020,16030,NIC,0.098863,0,0.069643,0,0,1.39222751631258,-1.40449746585798,4.18895249848314
2021,16030,NIC,0.041876,0,0.098863,0,0,1.42387257041516,-1.37881393410748,4.22655907493779
2022,16030,NIC,1.263662,0,0.041876,0,0,1.44503186016293,-1.36514585654453,4.25520957687039
2023,16030,NIC,1.62173434641767,0,1.263662,0,0,1.62173434641767,-1.19668456774249,4.44015326057783
2010,16040,NIC,5.515065,0,,,,,,
2011,16040,NIC,2.278034,2.520442,5.515065,0,2.520442,2.20706942678769,-0.605006898121326,5.01914575169671
2012,16040,NIC,8.061436,7.905888,2.278034,2.520442,5.385446,1.92705042821174,-0.876487976797001,4.73058883322047
2013,16040,NIC,8.3419,8.208874,8.061436,7.905888,0.302986,2.67480923668401,-0.130154320827216,5.47977279419523
2014,16040,NIC,7.694986,7.51377523091071,8.3419,8.208874,-0.695098769089289,2.72732715431025,-0.0735654911516979,5.5282197997722
2015,16040,NIC,8.323209,7.47524631295476,7.694986,7.51377523091071,-0.0385289179559543,2.67464779912838,-0.12143871786312,5.47073431611988
2016,16040,NIC,0.541407,0.720475783554635,8.323209,7.47524631295476,-6.75477052940012,2.67853749620104,-0.117540490026455,5.47461548242853
2017,16040,NIC,0.579587,0.726184362258385,0.541407,0.720475783554635,0.00570857870374975,1.74550604374299,-1.04205794282684,4.53307003031283
2018,16040,NIC,0.612296,0.0799699050324,0.579587,0.726184362258385,-0.646214457225985,1.76863573373903,-1.02048203953228,4.55775350701035
2019,16040,NIC,0.545348,0.061815474,0.612296,0.0799699050324,-0.0181544310324,1.7990315325041,-0.993126936437774,4.59119000144598
2020,16040,NIC,0.139796,1.02514433385555,0.545348,0.061815474,0.963328859855551,1.83327701345586,-0.963402550673922,4.62995657758565
2021,16040,NIC,0.167061,0.590265760815,0.139796,1.02514433385555,-0.434878573040551,1.80765855404575,-0.995237307978,4.6105544160695
2022,16040,NIC,0.281131,0.00691676489,0.167061,0.590265760815,-0.583348995925,1.82943936188745,-0.980956763221321,4.63983548699621
2023,16040,NIC,1.87003526433329,0,0.281131,0.00691676489,-0.00691676489,1.87003526433329,-0.949227917364637,4.68929844603122
2010,16030,GEO,0.589515,0,,,,,,
2011,16030,GEO,0,0,0.589515,0,0,0.14622391612447,-2.66313364427223,2.95558147652117
2012,16030,GEO,0.092545,0.001034908,0,0,0.001034908,0.10262471393974,-2.69927138274994,2.90452081062942
2013,16030,GEO,0.00108,0,0.092545,0.001034908,-0.001034908,0.141959131796632,-2.65400323465693,2.9379214982502
2014,16030,GEO,0.079607,0,0.00108,0,0,0.158922452039256,-2.63258824482586,2.95043314890437
2015,16030,GEO,0.033278,0,0.079607,0,0,0.196564949308183,-2.59196929688044,2.98509919549681
2016,16030,GEO,0.008393,0,0.033278,0,0,0.219020621907632,-2.56803406006829,3.00607530388355
2017,16030,GEO,0.000413,0.00041280075,0.008393,0,0.00041280075,0.244090773167748,-2.54297514868454,3.03115669502004
2018,16030,GEO,0.000363,0.000363023,0.000413,0.00041280075,-4.977775e-05,0.271211171342863,-2.517355541202,3.05977788388772
2019,16030,GEO,0.000217,0.0002173608,0.000363,0.000363023,-0.0001456622,0.299293701177305,-2.49226125183339,3.09084865418801
2020,16030,GEO,0,0,0.000217,0.0002173608,-0.0002173608,0.32736327874683,-2.46866365204532,3.12339020953898
2021,16030,GEO,0.054329,0,0,0,0,0.355427299516968,-2.44654822772863,3.15740282676256
2022,16030,GEO,0,0,0.054329,0,0,0.39012647981793,-2.4192525219448,3.19950548158066
2023,16030,GEO,0.411609074652944,0,0,0,0,0.411609074652944,-2.40665365201961,3.2298718013255
2010,16040,GEO,0,0,,,,,,
2011,16040,GEO,0,0,0,0,0,0.442314203565374,-2.36701419795241,3.25164260508316
2012,16040,GEO,0,0,0,0,0,0.470405091133358,-2.33153592285979,3.2723461051265
2013,16040,GEO,0,0,0,0,0,0.498495978701342,-2.29752502791486,3.29451698531754
2014,16040,GEO,0,0,0,0,0,0.526586866269334,-2.2649908486082,3.31816458114687
2015,16040,GEO,0,0,0,0,0,0.554677753837318,-2.23394044379792,3.34329595147256
2016,16040,GEO,0,0,0,0,0,0.582768641405309,-2.20437854010191,3.36991582291252
2017,16040,GEO,0,0,0,0,0,0.610859528973293,-2.17630749433272,3.39802655227931
2018,16040,GEO,0,0,0,0,0,0.638950416541277,-2.14972727466742,3.42762810774998
2019,16040,GEO,2.23889,0,0,0,0,0.667041304109269,-2.12463546090228,3.45871806912082
2020,16040,GEO,5.698006,0,2.23889,0,0,0.967458951178322,-1.82890615727053,3.76382405962717
2021,16040,GEO,3.556097,11.835,5.698006,0,11.835,1.59243873911213,-1.21931561375307,4.40419309197734
2022,16040,GEO,0,10,3.556097,11.835,-1.835,1.35839203627888,-1.45659486798466,4.17337894054242
2023,16040,GEO,0.801122822529251,0,0,10,-10,0.801122822529251,-2.02128546387263,3.62353110893114
2010,16030,UKR,0.010837,0,,,,,,
2011,16030,UKR,0.008793,0,0.010837,0,0,3.39031925862173,0.58086370627203,6.19977481097143
2012,16030,UKR,0,0,0.008793,0,0,3.4181615248209,0.616087891204174,6.22023515843763
2013,16030,UKR,0.016136,0,0,0,0,3.44518287829106,0.649021072362708,6.24134468421941
2014,16030,UKR,0.067771,0,0.016136,0,0,3.47523646370991,0.683519801846348,6.26695312557346
2015,16030,UKR,0.793344,0,0.067771,0,0,3.50960796007369,0.720868262202752,6.29834765794464
2016,16030,UKR,0,0,0.793344,0,0,3.62595371673819,0.838896496087097,6.41301093738928
2017,16030,UKR,0.014068,0,0,0,0,3.55754642856301,0.770219643615397,6.34487321351062
2018,16030,UKR,0.062552,0,0.014068,0,0,3.58734847337975,0.798513524349913,6.37618342240958
2019,16030,UKR,0.011194,0,0.062552,0,0,3.62133669873907,0.829523215124213,6.41315018235393
2020,16030,UKR,0,0,0.011194,0,0,3.64318067032885,0.846854194271085,6.43950714638661
2021,16030,UKR,0,0,0,0,0,3.66990997883496,0.867614011105049,6.47220594656487
2022,16030,UKR,0,0,0,0,0,3.69800086640294,0.888274487381001,6.50772724542489
2023,16030,UKR,3.72609175397093,0,0,0,0,3.72609175397093,0.90747957695759,6.54470393098428
2010,16040,UKR,0.000508,0.000507560167,,,,,,
2011,16040,UKR,0,0,0.000508,0.000507560167,-0.000507560167,3.75685977563896,0.947262269929303,6.56645728134861
2012,16040,UKR,0,0,0,0,0,3.78488777045135,0.982661186811129,6.58711435409157
2013,16040,UKR,0,0,0,0,0,3.81297865801933,1.01665592346345,6.60930139257521
2014,16040,UKR,0,0,0,0,0,3.84106954558732,1.04917404418547,6.63296504698918
2015,16040,UKR,0.716317,0,0,0,0,3.86916043315531,1.0802085169471,6.65811234936352
2016,16040,UKR,0,0,0.716317,0,0,3.98438033884636,1.19721686084402,6.7715438168487
2017,16040,UKR,0,0,0,0,0,3.92534220829128,1.13781008705437,6.71287432952819
2018,16040,UKR,0,0,0,0,0,3.95343309585927,1.16437491024174,6.74249128147679
2019,16040,UKR,0,0,0,0,0,3.98152398342726,1.1894515553172,6.77359641153732
2020,16040,UKR,4.558405,0,0,0,0,4.00961487099524,1.21304483431024,6.80618490768025
2021,16040,UKR,27.650474,0,4.558405,0,0,4.59216607691003,1.78886737317206,7.39546478064801
2022,16040,UKR,59.683202,0,27.650474,0,0,7.42905432430591,4.496166217986,10.3619424306258
2023,16040,UKR,12.3987147335982,70.2329959,59.683202,0,70.2329959,12.3987147335982,8.83163983527309,15.9657896319233
2010,16030,BIH,0.2381,0,,,,,,
2011,16030,BIH,0.365654,0,0.2381,0,0,3.08831193773494,0.27726315010117,5.89936072536872
2012,16030,BIH,0.195182,0,0.365654,0,0,3.13191782044846,0.328348143767127,5.9354874971298
2013,16030,BIH,0,0,0.195182,0,0,3.13927339393418,0.341368185695546,5.93717860217281
2014,16030,BIH,2.002136,0,0,0,0,3.143623373475,0.349855108049527,5.93739163890048
2015,16030,BIH,0.574953,0,2.002136,0,0,3.41524351391402,0.626298335516182,6.20418869231186
2016,16030,BIH,0.096705,0,0.574953,0,0,3.26973939609764,0.481006279388876,6.05847251280641
2017,16030,BIH,0,0,0.096705,0,0,3.23965872183013,0.450259223412075,6.02905822024819
2018,16030,BIH,2.236738,0,0,0,0,3.25598692374695,0.464888800923412,6.04708504657048
2019,16030,BIH,1.587182,0.37316268,2.236738,0,0.37316268,3.5616965926647,0.769776108001844,6.35361707732756
2020,16030,BIH,3.239024,0.057065,1.587182,0.37316268,-0.31609768,3.506884869775,0.710011751592783,6.30375798795722
2021,16030,BIH,2.633831,0,3.239024,0.057065,-0.057065,3.73436129914374,0.93240615896729,6.53631643932018
2022,16030,BIH,0.738267,0,2.633831,0,0,3.68871577169027,0.879123903737642,6.4983076396429
2023,16030,BIH,3.4862402618261,0,0.738267,0,0,3.4862402618261,0.666139228181956,6.30634129547025
2010,16040,BIH,0.02677,0.000280032526,,,,,,
2011,16040,BIH,0,0,0.02677,0.000280032526,-0.000280032526,3.4304032601423,0.618623394154585,6.24218312613001
2012,16040,BIH,0.571979,-0.29688958458,0,0,-0.29688958458,3.45081877069754,0.646307745141579,6.2553297962535
2013,16040,BIH,0.404732,0.989227834359,0.571979,-0.29688958458,1.286117418939,3.56697866440964,0.769037010359419,6.36492031845986
2014,16040,BIH,7.9636,6.659623928,0.404732,0.989227834359,5.670396093641,3.66191219458003,0.866455150673071,6.457369238487
